plate,well_folder,compound,dose,dead120,dead24,area_out_lat,area_heart,area_yolk,area_ov,area_eyes,area_out_dor,length_out_lat,length_heart,length_yolk,length_ov,length_eyes,length_out_dor,bodycurvature,yolkedema,necrosis,tailbending,notochorddefects,finabsence,craniofacialedema,scoliosis,snoutjawdefects
20190918_1975_CS_R3,Well_D07,1975,9.02,0,0,42952.0,1019.0,1905.0,1747.0,4829.0,34761.0,672,48,130,46,64,699,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_D08,1975,9.02,0,0,43040.0,1004.0,1671.0,2114.0,5486.0,35546.0,682,51,159,52,66,712,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_D09,1975,9.02,0,0,43066.0,1308.0,3614.0,1946.0,5088.0,34790.0,662,55,183,48,64,697,False,False,False,True,False,False,False,False,False
20190918_1975_CS_R3,Well_D10,1975,9.02,0,0,45268.0,1140.0,1606.0,2175.0,5640.0,36501.0,704,53,125,52,72,739,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_D11,1975,9.02,0,0,43111.0,909.0,1530.0,1741.0,5342.0,36162.0,688,50,107,45,67,721,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_D12,"3,4-DCA",6.25,0,0,46002.0,909.0,1959.0,2004.0,5355.0,36611.0,756,43,137,50,66,722,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E01,1975,2.7,0,0,42555.0,1339.0,1426.0,2001.0,5347.0,35062.0,677,60,130,48,68,709,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E02,1975,2.7,0,0,42483.0,945.0,1279.0,1728.0,4983.0,34681.0,668,45,112,45,64,690,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E03,1975,2.7,0,0,45176.0,1104.0,1983.0,1875.0,5373.0,35706.0,685,49,202,49,80,708,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E04,1975,2.7,0,0,40141.0,1116.0,3159.0,2110.0,4980.0,34531.0,653,45,177,51,71,655,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E05,1975,2.7,0,0,41586.0,1240.0,1576.0,1810.0,4777.0,33624.0,710,56,108,48,71,661,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E06,1975,2.7,0,0,41819.0,1354.0,1943.0,2188.0,5105.0,36615.0,670,57,135,54,76,668,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E07,1975,2.7,0,0,42954.0,938.0,1825.0,1925.0,5113.0,35180.0,675,47,175,48,71,687,False,False,False,True,False,False,False,True,False
20190918_1975_CS_R3,Well_E08,1975,2.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_E09,1975,2.7,0,0,44446.0,1170.0,1863.0,1940.0,5253.0,36511.0,691,56,127,48,79,725,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E10,1975,2.7,0,0,42870.0,1455.0,2500.0,1887.0,5371.0,35315.0,658,58,172,48,66,690,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_E11,1975,2.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_E12,"3,4-DCA",3.13,0,0,44193.0,1085.0,1822.0,2072.0,5435.0,36208.0,695,48,158,50,72,726,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F01,1975,0.81,0,0,44108.0,960.0,1183.0,1939.0,5118.0,36587.0,687,51,121,49,74,719,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_F02,1975,0.81,0,0,42478.0,1531.0,1736.0,1864.0,5307.0,35483.0,668,66,144,48,72,700,False,False,False,False,False,False,False,False,False
